Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2956,0.02,0.03,1,0,-0.03,-0.09
2964,0,0.02,1,0,-0.03,-0.09
2971,0.01,0,1,0,-0.03,-0.11
2979,-0.01,0,1,0,-0.03,-0.12
2988,0.02,-0.01,1,0,-0.02,-0.16
2995,0.02,-0.03,1.01,0,-0.02,-0.19
3003,0.03,-0.01,1,0,-0.03,-0.21
3011,0.03,-0.01,1,0,-0.03,-0.22
3018,0.01,0.03,1,0,-0.02,-0.18
3027,0,0.05,1,0,-0.01,-0.14
3035,0,0.05,1,0,0.01,-0.11
3043,-0.01,0.05,1,0,0.01,-0.08
3050,-0.01,0.05,1,0,0.02,-0.06
3058,-0.02,0.03,1,0,0.03,-0.05
3067,-0.02,0.01,1,0,0.03,-0.05
3074,-0.01,0,1,0,0.02,-0.03
3082,-0.01,-0.01,1,0,0.02,-0.02
3090,-0.01,-0.04,0.99,0,0.05,-0.04
3098,-0.01,-0.03,1.01,0,0.04,-0.05
3105,-0.01,-0.02,1,0,0.03,-0.04
3114,0,-0.01,1.01,0,0.03,-0.05
3122,0,-0.01,1.01,0,0.02,-0.07
3129,-0.01,-0.01,1,0,0.02,-0.08
3137,-0.01,0,1,0,0.01,-0.07
3145,-0.02,0.01,1,0,0.01,-0.07
3154,-0.02,0,1,0,0.01,-0.06
3161,-0.03,0,1,0,0.01,-0.06
3169,-0.02,-0.01,1,0,0.01,-0.06
3177,-0.01,-0.01,1,0,0.01,-0.06
3184,-0.02,-0.02,1,0,0.01,-0.06
3192,0.01,-0.01,1,0,0,-0.06
3201,0.01,-0.01,1.01,0,0,-0.06
3208,0.01,-0.01,1,0,0,-0.06
3216,0.02,-0.01,1,0,-0.01,-0.05
3224,0.02,-0.01,1,0,-0.01,-0.07
3232,0.02,-0.02,1,0,0,-0.08
3240,0.01,-0.02,1,0,0,-0.08
3248,-0.02,-0.02,1.01,0,0,-0.07
3256,-0.01,-0.01,1.01,0,0,-0.04
3263,-0.01,-0.01,1,0,0,-0.02
3271,0,-0.02,1.01,0,0,-0.03
3280,0,-0.03,1,0,0,-0.05
3287,0,-0.02,1,0,-0.01,-0.04
3295,0,-0.02,1,0,-0.01,-0.03
3303,0,-0.02,1,0,-0.01,-0.01
3311,0,-0.02,1.01,0,-0.01,0
3318,-0.01,-0.02,1,0,-0.01,0.01
3327,0,-0.02,1,0,-0.02,0.01
3335,0,-0.02,1,0,-0.02,0
3342,0,-0.02,1,0,-0.03,-0.01
3350,0,-0.02,1,0,-0.02,-0.03
3358,0.01,-0.03,1,0,-0.02,-0.06
3366,0.01,-0.03,1,0,-0.02,-0.08
3374,0,-0.03,1,0,-0.02,-0.09
3382,-0.01,-0.02,1,0,-0.02,-0.11
3389,0,-0.02,1,0,-0.02,-0.13
3397,-0.01,-0.01,1,0,-0.02,-0.14
3405,-0.01,-0.01,1,0,-0.02,-0.13
3414,0.01,0,1,0,-0.02,-0.13
3421,-0.01,0,1,0,-0.03,-0.11
3429,-0.01,0.02,1,0,-0.03,-0.08
3437,0,0.01,1.01,0,-0.03,-0.06
3444,-0.03,0.01,1,0,-0.02,-0.04
3453,-0.01,0.01,1,0,-0.02,-0.03
3461,-0.01,0.01,1,0,-0.02,-0.02
3468,-0.02,0,1,0,-0.02,-0.01
3476,-0.01,0,1,0,-0.02,-0.01
3484,-0.02,0,1,0,-0.02,0
3493,0,0,1.01,0,-0.02,0.01
3500,-0.01,0,1,0,-0.02,0.01
3508,-0.01,0,0.99,0,-0.01,0.01
3516,-0.01,0,1,0,-0.01,0.01
3523,0.01,0,1,0,-0.01,0.01
3531,-0.01,0,1,0,-0.01,0.02
3540,-0.02,0.01,1,0,0,0.02
3547,-0.02,0.02,1,0,0,0.04
3555,-0.03,0.01,1,0,0.01,0.04
3563,-0.01,0,1,-0.01,0.01,0.04
3570,-0.02,0,1,-0.01,0.01,0.04
3579,-0.01,-0.01,1,-0.01,0.02,0.04
3587,-0.01,-0.01,1,-0.01,0.02,0.05
3595,-0.01,-0.01,1.01,-0.01,0.01,0.04
3602,-0.02,-0.01,1,-0.01,0.01,0.04
3610,0,-0.01,1,-0.01,0.01,0.05
3618,-0.01,-0.01,1,-0.01,0.01,0.05
3626,0,-0.01,1,-0.01,0.01,0.05
3634,-0.01,-0.01,1,-0.01,0.01,0.05
3642,-0.01,0,1,-0.01,0.01,0.06
3650,-0.01,0,1,-0.01,0.01,0.06
3657,0,0,1,-0.01,0.02,0.05
3666,0,0,1,-0.01,0.01,0.05
3674,0,0.01,1,-0.01,0.02,0.06
3681,0,0,1,-0.01,0.01,0.06
3689,-0.01,0,1,-0.01,0.02,0.07
3697,0.01,0,1.01,-0.01,0.02,0.07
3704,0.01,-0.01,1,-0.01,0.02,0.08
3713,0,-0.01,1,-0.01,0.02,0.09
3721,-0.02,-0.01,1,-0.01,0.02,0.11
3728,0.01,0,1,0,0.01,0.12
3736,0.01,0,1,0,0.01,0.13
3744,0,0,1,0,0.01,0.14
3753,0.03,0,1,0,0.01,0.13
3760,0.03,0,1,0,0.01,0.12
3768,0.03,0,1,0,0,0.09
3776,0.03,0,1,0,0,0.08
3783,0.02,0.01,1,0,0,0.07
3792,0.01,0,1,-0.01,0,0.07
3800,0.03,0.02,1,-0.01,0,0.07
3807,0.03,0.02,1,-0.01,0,0.07
3815,0.02,0.02,1,-0.01,0,0.07
3823,0.04,0.01,1,-0.01,-0.01,0.07
3831,0.04,0,1,-0.01,-0.01,0.07
3839,0.05,0,1.01,0,-0.01,0.07
3847,0.03,0,1,0,-0.01,0.08
3855,0.04,0,1,0,-0.01,0.09
3862,0.05,-0.01,1,0,-0.01,0.1
3870,0.03,-0.02,1,0,-0.01,0.11
3879,0.03,-0.02,1,0,-0.01,0.12
3886,0.04,-0.01,1,0,-0.01,0.13
3894,0.04,-0.01,1,0,-0.01,0.13
3902,0.05,-0.01,1,0,-0.01,0.12
3910,0.04,0,1,0,-0.01,0.12
3917,0.04,0,1,0,-0.01,0.12
3926,0.04,0.01,1,0,-0.01,0.13
3934,0.04,0.01,1,0,0,0.12
3941,0.04,0,1,0,0,0.11
3949,0.02,-0.02,1,0,0,0.09
3957,0.03,-0.02,1,0,0,0.08
3965,0.01,-0.02,1,0,0,0.08
3973,0.01,-0.02,1,0,0,0.08
3981,-0.01,-0.02,1,0,0,0.09
3989,-0.01,-0.01,1,0,-0.01,0.09
3996,0,-0.01,1,0,-0.01,0.09
4005,0,0,1,0,-0.01,0.09
4013,0,0.01,1,0,0,0.09
4020,0.01,0.01,1,0.01,0,0.08
4028,-0.03,0.02,1,0,0,0.05
4036,-0.08,0.01,1,0,0,0.04
4043,0.13,0.02,1,0,0,0.08
4052,0.03,-0.05,1.01,0.01,-0.01,0.01
4060,-0.04,-0.01,1,0,0,0
4067,-0.03,-0.01,1,0,0,0.01
4075,-0.01,-0.01,1,0,0,0.03
4083,-0.04,0,1.01,0,-0.01,0.04
4092,-0.03,0,1,0,-0.01,0.05
4099,-0.02,-0.01,1,0,-0.01,0.06
4107,-0.04,-0.01,1,0,-0.01,0.06
4115,-0.03,-0.01,1,0,-0.01,0.07
4122,-0.04,-0.01,1.01,0,-0.01,0.07
4130,-0.03,-0.01,1,0,-0.01,0.08
4139,-0.05,-0.01,1,0,-0.01,0.08
4147,-0.06,-0.01,1,0,-0.01,0.08
4154,-0.04,0,1,0,-0.01,0.08
4162,-0.04,0,1,0,-0.01,0.07
4170,-0.05,0,1,0,0,0.06
4178,-0.04,0,1,0,0,0.05
4186,-0.04,0,1,0,0,0.05
4194,-0.04,0,1,0,0,0.04
4201,-0.05,0,1,0,0,0.03
4209,-0.03,-0.01,1,0,0,0.03
4218,-0.05,-0.01,1,0,0,0.03
4226,-0.04,-0.01,1,0,0,0.04
4233,-0.04,-0.01,1,0,0,0.04
4241,-0.05,-0.01,1,0,0,0.05
4249,-0.07,-0.01,1,0,0,0.05
4256,-0.05,-0.01,1,0,0,0.07
4265,-0.05,-0.01,1,0,0,0.07
4273,-0.04,-0.01,1,0,0,0.08
4280,-0.04,-0.01,1,0,0,0.09
4288,-0.04,-0.01,1,0,0,0.1
4296,-0.05,-0.01,1,0,0,0.1
4305,-0.04,-0.01,1,0,0,0.1
4312,-0.04,-0.01,1,0,0,0.1
4320,-0.04,-0.01,1,0,0,0.1
4328,-0.04,-0.01,1,0,0.01,0.1
